"partie","player","stratCulture","stratParcelle","stratOrdreIrrig","stratSeau.x","stratSeau.y","stratSeau"
211,"p1","0.428571428571429",7,2,2,0,2
212,"p1","0.2",5,2,1,1,1
213,"p1","0.555555555555556",9,2,6,0,0
214,"p1","0.8",5,1,3,0,0
215,"p1","0.333333333333333",6,2,3,0,0
216,"p1","0.5",4,1,1,0,2
217,"p1","0.8",5,2,3,0,0
218,"p1","0.625",8,2,1,0,4
219,"p1","0.5",6,3,2,1,1
220,"p1","0.615384615384615",13,2,6,0,1
221,"p1","0.833333333333333",6,2,3,0,0
222,"p1","0.714285714285714",7,2,4,0,2
223,"p1","0.4",5,2,0,0,4
224,"p1","0.4",5,1,1,0,2
225,"p1","0.6",5,2,2,0,1
226,"p1","0.571428571428571",7,2,2,0,2
227,"p1","0.4",5,2,1,1,1
228,"p1","0.4",5,2,3,0,0
229,"p1","0.6",5,1,0,0,3
230,"p1","0.545454545454545",11,2,2,0,4
231,"p1","0.5",10,1,2,3,1
232,"p1","0.785714285714286",14,1,4,0,4
233,"p1","0.583333333333333",12,2,5,0,1
234,"p1","0.636363636363636",11,2,0,0,6
235,"p1","0.5",8,1,1,0,4
236,"p1","0.833333333333333",6,1,0,0,3
237,"p1","0.166666666666667",6,1,3,0,1
238,"p1","0.666666666666667",6,2,0,1,3
239,"p1","0.333333333333333",6,2,0,0,3
240,"p1","0.9",10,2,5,0,1
241,"p1","0.4",5,2,2,0,1
242,"p1","0.333333333333333",6,1,3,0,0
243,"p1","0.75",8,2,2,0,4
244,"p1","0.5",4,1,1,0,2
245,"p1","0.166666666666667",6,2,0,1,2
246,"p1","0.5",6,1,1,1,1
247,"p1","0.571428571428571",7,3,1,1,2
248,"p1","1",4,2,0,0,3
249,"p1","0.6",5,2,0,0,3
250,"p1","0.166666666666667",6,1,2,0,1
251,"p1","0.333333333333333",6,2,3,0,0
252,"p1","0.571428571428571",7,2,0,0,4
253,"p1","0.25",8,1,3,2,0
254,"p1","0.333333333333333",3,1,0,0,3
255,"p1","0.666666666666667",6,1,3,0,1
256,"p1","0.333333333333333",6,1,3,0,0
257,"p1","0.333333333333333",6,2,2,0,1
258,"p1","0.285714285714286",7,2,4,0,0
259,"p1","0.454545454545455",11,2,6,0,0
260,"p1","0.6",5,1,1,0,2
261,"p1","0.833333333333333",6,1,0,0,3
262,"p1","0",4,2,1,1,1
263,"p1","0.2",5,2,2,1,0
264,"p1","0.6",5,2,2,0,1
265,"p1","0.272727272727273",11,2,6,0,0
266,"p1","0.5",4,1,0,0,3
267,"p1","0.2",5,1,1,0,2
268,"p1","0.363636363636364",11,3,2,3,1
269,"p1","0.5",4,1,1,0,2
270,"p1","0.444444444444444",9,2,0,0,6
271,"p1","0",5,2,2,0,1
272,"p1","0.5",6,1,2,2,0
273,"p1","1",6,2,0,0,3
274,"p1","0.533333333333333",15,1,2,2,4
275,"p1","0.5",4,2,2,0,1
276,"p1","0.333333333333333",6,1,0,0,3
277,"p1","0.6",5,2,1,0,2
278,"p1","0.571428571428571",7,1,1,2,1
279,"p1","0.375",8,1,1,3,0
280,"p1","0.5",8,2,0,1,3
281,"p1","0.333333333333333",6,1,0,0,3
282,"p1","0.8",5,2,0,0,3
283,"p1","0.75",4,1,3,0,0
284,"p1","0.2",5,1,2,1,0
285,"p1","0.375",8,2,3,0,1
286,"p1","0",3,1,2,0,1
287,"p1","0.8",5,1,1,1,1
288,"p1","0.5",8,1,1,2,1
289,"p1","0.285714285714286",7,2,3,0,1
290,"p1","0.818181818181818",11,1,0,0,6
291,"p1","0.666666666666667",15,3,5,3,0
292,"p1","0.333333333333333",6,2,0,0,3
293,"p1","1",6,2,0,0,3
294,"p1","0.5",6,2,2,0,1
295,"p1","0.857142857142857",7,2,2,0,2
296,"p1","0.6",5,3,2,0,2
297,"p1","0.8",5,2,0,0,3
298,"p1","0.285714285714286",7,2,4,1,0
299,"p1","0.333333333333333",6,2,2,0,3
300,"p1","0.75",8,2,3,2,1
301,"p1","0.5",4,2,0,0,3
302,"p1","0.375",8,1,3,0,1
303,"p1","0.2",5,2,2,1,0
304,"p1","0.4",5,2,2,1,0
305,"p1","0.4",5,2,0,0,3
306,"p1","0.125",8,2,1,0,3
307,"p1","0.666666666666667",6,1,3,0,0
308,"p1","0.833333333333333",6,2,2,1,0
309,"p1","0.5",12,2,6,1,0
310,"p1","0.5",6,1,0,0,3
311,"p1","0.333333333333333",6,2,4,0,0
312,"p1","0.454545454545455",11,1,3,2,1
313,"p1","0.625",8,2,3,2,1
314,"p1","0.25",8,2,3,1,0
315,"p1","0.666666666666667",6,1,3,0,0
316,"p1","0.444444444444444",9,2,0,0,5
317,"p1","0.111111111111111",9,2,0,0,5
318,"p1","0.714285714285714",7,2,3,0,2
319,"p1","0.3",10,1,3,1,2
320,"p1","0.5",6,1,2,1,1
321,"p1","0.5",12,1,0,2,4
322,"p1","0.2",5,2,2,0,1
323,"p1","0.538461538461538",13,1,5,0,3
324,"p1","0.857142857142857",14,2,2,1,5
325,"p1","0.833333333333333",6,1,2,1,0
326,"p1","0.5",10,1,3,2,1
327,"p1","0.5",6,1,2,0,1
328,"p1","0.6",5,2,1,0,2
329,"p1","0.2",5,2,3,0,0
330,"p1","0.625",8,2,1,2,1
331,"p1","0.3",10,2,3,0,3
332,"p1","0.545454545454545",11,2,0,0,6
333,"p1","0.6",5,2,1,0,2
334,"p1","0.636363636363636",11,2,4,0,2
335,"p1","0.555555555555556",9,2,3,1,2
336,"p1","0.636363636363636",11,2,2,3,1
337,"p1","0.333333333333333",3,2,1,2,0
338,"p1","0.428571428571429",14,2,5,2,0
339,"p1","0.666666666666667",6,2,3,0,0
340,"p1","0.333333333333333",6,2,2,0,1
341,"p1","0.666666666666667",6,2,0,0,4
342,"p1","0.4",10,1,0,0,6
343,"p1","1",4,1,2,0,1
344,"p1","0",5,1,1,1,1
345,"p1","0.285714285714286",7,2,1,0,3
346,"p1","0.333333333333333",6,2,1,0,3
347,"p1","0",4,2,1,0,2
348,"p1","1",6,2,0,0,3
349,"p1","0.272727272727273",11,2,4,3,0
350,"p1","0.666666666666667",9,2,5,0,0
351,"p1","0.5",4,1,2,0,1
352,"p1","0.6",10,2,2,0,3
353,"p1","0.5",10,2,0,0,5
354,"p1","0.5",6,1,1,0,2
355,"p1","0.571428571428571",7,2,0,0,4
356,"p1","0.875",8,1,4,0,2
357,"p1","0.666666666666667",6,1,0,0,4
358,"p1","0.666666666666667",9,3,5,0,0
359,"p1","0.333333333333333",6,1,1,0,2
360,"p1","0.8",5,1,3,0,0
361,"p1","0.4",5,2,2,0,1
362,"p1","0.375",8,2,3,0,2
363,"p1","0.4",5,2,2,0,1
364,"p1","0.375",8,2,1,3,1
365,"p1","0.333333333333333",6,1,2,0,1
366,"p1","0.545454545454545",11,2,1,0,5
367,"p1","1",4,1,1,0,2
368,"p1","0.5",4,2,1,1,1
369,"p1","0.333333333333333",6,2,1,0,2
370,"p1","0.615384615384615",13,1,8,0,0
371,"p1","0.8",5,1,2,0,1
372,"p1","0.5",4,2,0,2,1
373,"p1","0.8",10,2,1,0,4
374,"p1","0.166666666666667",6,2,1,2,1
375,"p1","0.571428571428571",7,1,3,0,2
376,"p1","0.6",5,2,1,0,2
377,"p1","0.166666666666667",6,2,0,0,5
378,"p1","0.285714285714286",7,2,1,1,2
379,"p1","0.2",5,2,2,1,0
380,"p1","0.4",5,1,1,0,2
381,"p1","0.5",12,1,6,1,1
382,"p1","0.4",5,1,0,0,3
383,"p1","0.285714285714286",14,1,3,3,1
384,"p1","0",5,1,0,0,3
385,"p1","0.666666666666667",6,2,1,2,0
386,"p1","0.4",5,2,0,0,3
387,"p1","0.2",5,2,0,0,4
388,"p1","0.5",4,1,2,0,1
389,"p1","0.4",5,1,0,0,3
390,"p1","0.4",5,2,0,0,3
391,"p1","0.666666666666667",3,2,1,0,2
392,"p1","0.8",5,2,1,0,2
393,"p1","0.4",5,2,2,1,0
394,"p1","0.6",10,2,0,1,4
395,"p1","0.538461538461538",13,2,3,0,5
396,"p1","0.5",8,2,0,0,5
397,"p1","0.4",10,2,5,0,1
398,"p1","0.5",6,2,3,0,0
399,"p1","0.333333333333333",6,1,2,0,1
400,"p1","0.666666666666667",12,1,2,2,2
401,"p1","0.666666666666667",6,1,2,0,1
402,"p1","0.2",5,1,0,0,3
403,"p1","0.5",8,1,1,0,4
404,"p1","0.25",4,2,1,0,2
405,"p1","0.5",10,2,3,0,3
406,"p1","0.4",5,2,2,0,1
407,"p1","0.5",4,3,1,1,1
408,"p1","0.666666666666667",12,1,5,2,0
409,"p1","0.6",5,2,1,0,2
410,"p1","0.2",5,1,2,1,0
411,"p1","0.555555555555556",9,2,2,2,1
412,"p1","0.25",4,2,1,0,2
413,"p1","1",5,1,2,0,1
414,"p1","0.5",6,1,4,0,1
415,"p1","0.5",6,1,0,0,3
416,"p1","0.625",8,3,6,0,1
417,"p1","0.375",8,2,0,0,5
418,"p1","0.5",4,2,0,0,3
419,"p1","0.666666666666667",6,1,3,0,0
420,"p1","0.444444444444444",9,2,3,0,2
421,"p1","0.6",5,2,3,1,0
422,"p1","0.833333333333333",6,2,1,0,2
423,"p1","0.454545454545455",11,2,4,1,1
424,"p1","0.5",4,2,1,0,2
425,"p1","0.666666666666667",6,2,0,0,3
426,"p1","0.6",5,2,3,0,0
427,"p1","0.8",5,1,0,0,3
428,"p1","0.25",4,2,0,0,3
429,"p1","0.466666666666667",15,2,5,3,0
430,"p1","0.125",8,2,3,3,0
431,"p1","0.8",5,3,0,0,4
432,"p1","0",5,3,1,2,0
433,"p1","0.833333333333333",6,1,4,0,0
434,"p1","0.285714285714286",7,1,4,0,1
435,"p1","0.6",5,2,3,0,0
436,"p1","0.6",5,2,2,1,0
437,"p1","0.363636363636364",11,2,4,1,2
438,"p1","0.625",8,2,2,0,2
439,"p1","0.636363636363636",11,2,2,1,3
440,"p1","0.5",6,1,2,0,1
441,"p1","0.166666666666667",6,2,0,1,4
442,"p1","0.6",10,2,2,1,2
443,"p1","0.666666666666667",9,1,0,0,5
444,"p1","0",5,1,0,0,3
445,"p1","0.4",5,1,0,0,3
446,"p1","0.2",5,3,0,0,3
447,"p1","0.75",4,2,0,0,3
448,"p1","0.6",5,2,2,0,1
449,"p1","0.2",5,2,2,0,1
450,"p1","0.8",5,2,1,1,1
451,"p1","0.5",6,2,0,0,3
452,"p1","0.428571428571429",7,2,4,0,0
453,"p1","0.428571428571429",7,3,0,0,6
454,"p1","0.5",6,2,0,0,3
455,"p1","0.4",5,2,2,0,1
456,"p1","0.5",4,2,2,1,1
457,"p1","0.625",8,2,2,0,2
458,"p1","0.5",10,1,2,1,2
459,"p1","0.125",8,1,3,0,2
460,"p1","0.75",8,2,5,0,0
461,"p1","0.666666666666667",6,1,3,0,0
462,"p1","0.666666666666667",6,2,3,0,0
463,"p1","1",4,2,1,1,1
464,"p1","0.5",6,1,3,0,0
465,"p1","0.714285714285714",7,2,1,0,4
466,"p1","0.4",5,2,0,0,3
467,"p1","0.5",10,2,2,5,0
468,"p1","0.615384615384615",13,1,6,0,1
469,"p1","0.2",5,1,1,0,3
470,"p1","0.5",8,2,5,0,0
471,"p1","0.333333333333333",9,2,0,0,6
472,"p1","0.2",5,2,2,0,1
473,"p1","0.2",5,2,0,1,2
474,"p1","0.4",5,1,1,2,1
475,"p1","0.666666666666667",6,2,2,1,0
476,"p1","0.583333333333333",12,1,0,0,6
477,"p1","0.6",5,1,2,1,0
478,"p1","0.75",4,2,1,2,1
479,"p1","0.2",5,2,3,0,0
480,"p1","0.375",8,2,2,0,4
481,"p1","0.375",8,1,3,0,3
482,"p1","0.384615384615385",13,1,3,2,2
483,"p1","0.25",4,1,0,0,3
484,"p1","0.25",4,1,1,0,2
485,"p1","0",5,2,2,0,1
486,"p1","0.5",12,1,4,2,0
487,"p1","0.166666666666667",6,3,2,0,2
488,"p1","0.875",8,2,1,0,3
489,"p1","0.4",5,1,1,2,0
490,"p1","0.5",6,2,1,1,1
491,"p1","0.666666666666667",6,1,0,0,4
492,"p1","0.2",5,3,1,0,2
493,"p1","0.2",5,1,2,1,0
494,"p1","0.5",8,1,4,2,0
495,"p1","0.333333333333333",6,3,2,0,1
496,"p1","0.333333333333333",6,1,1,1,1
497,"p1","0.4",10,1,4,2,0
498,"p1","0.857142857142857",7,3,4,0,0
499,"p1","0.666666666666667",6,3,2,0,1
500,"p1","0.75",8,2,2,0,3
501,"p1","0.636363636363636",11,1,0,0,6
502,"p1","0.7",10,3,3,2,1
503,"p1","0.2",5,1,1,0,2
504,"p1","0.8",10,2,1,0,4
505,"p1","0.461538461538462",13,3,5,0,3
506,"p1","0.333333333333333",6,2,1,2,0
507,"p1","0.625",8,2,3,0,1
508,"p1","0.5",10,2,4,0,1
509,"p1","0.5",10,2,4,0,1
510,"p1","0.6",5,1,2,1,0
511,"p1","0.4",5,1,0,0,3
512,"p1","0.333333333333333",6,1,4,0,0
513,"p1","0.5",10,1,4,0,1
514,"p1","0.142857142857143",7,3,3,0,1
515,"p1","0.666666666666667",3,2,2,0,1
516,"p1","0.6",15,2,2,0,6
517,"p1","0.6",10,2,2,1,3
518,"p1","0.666666666666667",6,2,0,0,3
519,"p1","0",4,1,0,0,3
520,"p1","0.571428571428571",7,1,5,0,0
521,"p1","0.5",6,2,2,0,1
522,"p1","0",4,2,0,0,3
523,"p1","0.4",5,2,3,0,0
524,"p1","0.666666666666667",6,3,1,0,2
525,"p1","0.8",5,2,2,0,1
526,"p1","0.555555555555556",9,2,6,0,0
527,"p1","0.6",5,2,1,1,1
528,"p1","0.454545454545455",11,1,2,2,2
529,"p1","0.25",12,2,5,0,1
530,"p1","0.666666666666667",6,2,3,0,1
531,"p1","0.363636363636364",11,2,3,0,3
532,"p1","0.5",6,3,1,0,2
533,"p1","0.142857142857143",7,1,2,1,1
534,"p1","0.5",6,1,1,1,1
535,"p1","0.333333333333333",6,2,2,1,0
536,"p1","0.333333333333333",6,2,0,0,3
537,"p1","0.666666666666667",6,3,2,1,0
538,"p1","0.6",5,1,1,1,1
539,"p1","0.333333333333333",6,1,1,0,3
540,"p1","0.5",4,2,0,0,3
541,"p1","0.166666666666667",6,2,2,0,1
542,"p1","0.6",5,3,1,0,2
543,"p1","0.2",5,2,1,0,2
544,"p1","0.5",6,2,0,0,3
545,"p1","0.6",5,2,2,0,1
546,"p1","0.777777777777778",9,2,1,0,4
547,"p1","0.8",5,2,3,0,0
548,"p1","0.5",6,2,2,0,1
549,"p1","1",4,1,3,0,0
550,"p1","0.2",10,2,3,1,2
551,"p1","0.666666666666667",6,1,4,0,0
552,"p1","0.75",4,2,2,1,0
553,"p1","0.545454545454545",11,2,3,1,3
554,"p1","0.166666666666667",6,1,3,0,0
555,"p1","0.5",6,3,0,0,3
556,"p1","0.363636363636364",11,2,3,1,2
557,"p1","0.666666666666667",6,1,2,2,0
558,"p1","0.444444444444444",9,1,2,0,3
559,"p1","0.6",5,1,2,0,1
560,"p1","0.666666666666667",9,2,2,0,3
561,"p1","0.2",10,2,3,1,2
562,"p1","0.666666666666667",6,2,0,0,3
563,"p1","0.444444444444444",9,2,3,0,2
564,"p1","0.6",5,1,2,0,1
565,"p1","0.4",10,2,1,2,2
566,"p1","0.666666666666667",6,2,0,0,3
567,"p1","0.75",4,2,2,0,1
568,"p1","0.363636363636364",11,1,2,2,2
569,"p1","0.777777777777778",9,2,3,1,1
570,"p1","0.333333333333333",3,2,2,0,1
571,"p1","1",5,1,3,0,0
572,"p1","0.666666666666667",6,2,2,1,0
573,"p1","0.625",8,2,0,0,5
574,"p1","0.6",5,2,4,0,0
575,"p1","0.5",6,2,3,0,0
576,"p1","0.333333333333333",9,2,3,0,2
577,"p1","0.4",10,2,2,4,0
578,"p1","0.2",5,2,2,1,0
579,"p1","0.5",4,1,4,0,0
580,"p1","0.4",5,2,2,1,0
581,"p1","0.4",5,2,1,2,0
582,"p1","0.25",4,1,1,0,2
583,"p1","0.333333333333333",6,1,2,0,2
584,"p1","0.454545454545455",11,1,5,0,1
585,"p1","0",5,2,3,0,0
586,"p1","0.2",5,3,1,0,2
587,"p1","0.454545454545455",11,1,4,1,1
588,"p1","0.428571428571429",7,2,2,1,1
589,"p1","0.2",5,2,2,0,1
590,"p1","0.666666666666667",6,1,2,0,1
591,"p1","0.75",4,2,2,1,0
592,"p1","0.75",4,1,2,0,1
593,"p1","0.583333333333333",12,2,4,0,3
594,"p1","0.5",4,2,0,1,2
595,"p1","0.833333333333333",6,2,1,0,2
596,"p1","0.166666666666667",6,1,2,1,0
597,"p1","0.2",5,2,2,0,1
598,"p1","0.4",5,1,0,0,3
599,"p1","0.333333333333333",9,1,0,0,6
600,"p1","0.5",10,2,3,2,0
601,"p1","0.266666666666667",15,2,5,0,3
602,"p1","0.333333333333333",6,2,0,0,3
603,"p1","0.6",5,1,2,0,1
604,"p1","0.666666666666667",9,1,6,0,0
605,"p1","0.454545454545455",11,2,4,1,1
606,"p1","0.454545454545455",11,2,2,2,2
607,"p1","0.5",6,2,1,0,2
608,"p1","0.666666666666667",6,1,3,0,0
609,"p1","0",4,2,0,0,3
610,"p1","0.357142857142857",14,3,5,0,3
611,"p1","0.6",5,2,0,1,2
612,"p1","0.166666666666667",6,2,2,0,1
613,"p1","0.166666666666667",12,2,3,0,4
614,"p1","0.461538461538462",13,2,4,2,2
615,"p1","0.75",8,3,0,0,5
616,"p1","0.888888888888889",9,2,2,1,3
617,"p1","0.714285714285714",7,1,0,0,5
618,"p1","0.142857142857143",7,1,1,3,0
619,"p1","0.4",5,3,1,0,2
620,"p1","0.8",5,2,3,0,0
621,"p1","0.666666666666667",3,2,0,0,3
622,"p1","0.692307692307692",13,2,4,2,1
623,"p1","0.333333333333333",6,2,2,0,2
624,"p1","0.6",5,2,1,0,2
625,"p1","0.8",5,2,0,0,3
626,"p1","0.75",4,2,2,0,1
627,"p1","0.833333333333333",6,2,2,1,0
628,"p1","0.8",5,2,3,0,0
629,"p1","0.6",5,2,2,1,0
630,"p1","0.375",8,2,3,0,1
631,"p1","0.5",6,1,0,2,2
632,"p1","0.4",5,1,0,0,3
633,"p1","0.25",4,2,0,0,3
634,"p1","0.8",5,2,3,0,0
635,"p1","0.555555555555556",9,2,3,0,2
636,"p1","0.545454545454545",11,2,4,0,2
637,"p1","0.8",5,1,0,0,3
638,"p1","0.4",5,1,1,1,1
639,"p1","0",5,1,2,0,1
